AÃ±o,Trimestre,Provincia,Mbps (Media de bajada)
2014,2,Santa Cruz,3320
2014,2,Santa Fe,3310
2014,2,Santiago Del Estero,3070
2014,2,Tierra Del Fuego,3470
2014,2,TucumÃ¡n,3350
2014,1,Buenos Aires,3730
2014,1,Capital Federal,4020
2014,1,Catamarca,2800
2014,1,Chaco,3260
2014,1,Chubut,3180
2014,1,CÃ³rdoba,3390
2014,1,Corrientes,3220
2014,1,Entre RÃ­os,3170
2014,1,Formosa,2570
2014,1,Jujuy,2690
2014,1,La Pampa,2650
2014,1,La Rioja,2960
2014,1,Mendoza,3500
2014,1,Misiones,3400
2014,1,NeuquÃ©n,3550
2014,1,RÃ­o Negro,3350
2014,1,Salta,3300
2014,1,San Juan,3470
2014,1,San Luis,3500
2014,1,Santa Cruz,3320
2014,1,Santa Fe,3150
2014,1,Santiago Del Estero,2950
2014,1,Tierra Del Fuego,3450
2014,1,TucumÃ¡n,3210
