AÃ±o,Trimestre,Provincia,Accesos telefonia fija (total),Accesos telefonia fija (hogares),Accesos telefonia fija (comercial),Accesos telefonia fija (gobierno),Accesos telefonia fija (otros)
2018,2,TucumÃ¡n,214298,190770,15727,8500,6951
2018,1,Buenos Aires,4437761,3897738,326697,17191,196135
2018,1,Capital Federal,1732094,1521319,127512,671,76553
2018,1,Catamarca,38375,33705,2825,1490,1696
2018,1,Chaco,99037,86985,7291,3840,4377
2018,1,Chubut,113978,100108,8391,4420,5037
2018,1,CÃ³rdoba,691843,607654,50932,268,30577
2018,1,Corrientes,99564,87448,733,3860,44
2018,1,Entre RÃ­os,215675,189431,15877,8350,9532
2018,1,Formosa,40111,35230,2953,1550,1773
2018,1,Jujuy,54304,47696,3998,2100,24
2018,1,La Pampa,75269,66109,5541,2920,3327
2018,1,La Rioja,35980,31602,2649,1390,159
2018,1,Mendoza,360420,316562,26533,1396,15929
2018,1,Misiones,103398,90815,7612,4010,457
2018,1,NeuquÃ©n,97217,85386,7157,3770,4297
2018,1,RÃ­o Negro,139844,122826,10295,5420,6181
2018,1,Salta,134030,117720,9867,5190,5924
2018,1,San Juan,115192,101175,848,4460,5091
2018,1,San Luis,44327,38933,3263,1720,1959
2018,1,Santa Cruz,44206,38827,3254,1710,1954
2018,1,Santa Fe,689027,605181,50724,2669,30453
2018,1,Santiago del Estero,57141,50188,4207,2210,2525
2018,1,Tierra del Fuego,33372,29311,2457,1290,1475
2018,1,TucumÃ¡n,214755,188622,1581,8320,9491
2017,4,Buenos Aires,4881863,4268288,343324,18011,25224
2017,4,Capital Federal,1618260,1414870,113807,597,83613
2017,4,Catamarca,38665,33805,2719,1430,1998
2017,4,Chaco,102077,89247,7179,3770,5274
2017,4,Chubut,122592,107185,8621,4520,6334
2017,4,CÃ³rdoba,704306,615786,49531,2598,36391
2017,4,Corrientes,102049,89223,7177,3760,5273
2017,4,Entre RÃ­os,223126,195082,15692,8230,11529
2017,4,Formosa,41139,35968,2893,1520,2126
2017,4,Jujuy,56418,49327,3968,2080,2915
2017,4,La Pampa,83364,72886,5863,3080,4307
2017,4,La Rioja,37770,33023,2656,1390,1952
2017,4,Mendoza,381118,333217,26803,1406,19692
2017,4,Misiones,115189,100711,8101,4250,5952
